t.sec,PAA.X.radsec^2,PAA.Y.radsec^2,PAA.Z.radsec^2,PAA.R.radsec^2,PAV.X.radsec,PAV.Y.radsec,PAV.Z.radsec,PAV.R.radsec,PLA.X.msec^2,PLA.Y.msec^2,PLA.Z.msec^2,PLA.R.msec^2,PLV.X.msec,PLV.Y.msec,PLV.Z.msec,PLV.R.msec
0.0000000,11.07,-2.67,28.79,30.96,0.65,-7.74,0.84,7.82,-4.64,32.99,8.74,34.44,0.00,0.00,0.00,0.00
0.0003125,16.52,-3.00,41.97,45.21,0.66,-7.75,0.86,7.83,-4.86,32.26,8.69,33.76,0.00,0.00,0.00,0.00
0.0006250,22.62,-2.95,56.31,60.76,0.67,-7.76,0.89,7.83,-5.10,31.41,8.62,32.97,0.00,0.00,0.00,0.00
0.0009375,28.84,-2.40,70.42,76.14,0.68,-7.76,0.92,7.84,-5.35,30.48,8.53,32.10,0.00,0.00,0.00,0.00
0.0012500,34.67,-1.29,83.07,90.03,0.69,-7.76,0.95,7.85,-5.60,29.51,8.42,31.20,0.00,0.00,0.00,0.00
0.0015625,39.74,0.23,93.54,101.63,0.70,-7.76,0.98,7.85,-5.85,28.56,8.30,30.31,0.00,0.00,0.00,0.00
0.0018750,43.82,1.96,101.56,110.63,0.72,-7.76,1.01,7.86,-6.08,27.66,8.16,29.47,0.00,0.00,0.00,0.00
0.0021875,46.81,3.66,107.20,117.03,0.73,-7.76,1.05,7.86,-6.31,26.85,8.01,28.72,0.00,0.00,0.00,0.00
0.0025000,48.71,5.11,110.71,121.06,0.75,-7.76,1.08,7.87,-6.55,26.14,7.85,28.07,0.00,0.00,0.00,0.00
0.0028125,49.61,6.17,112.45,123.06,0.76,-7.75,1.12,7.87,-6.78,25.56,7.69,27.54,0.00,0.00,0.00,0.00
0.0031250,49.63,6.77,112.80,123.43,0.78,-7.75,1.15,7.87,-7.03,25.12,7.54,27.15,0.00,0.00,0.00,0.00
0.0034375,48.94,6.96,112.13,122.55,0.79,-7.75,1.19,7.88,-7.28,24.81,7.39,26.89,0.00,0.00,0.00,0.00
0.0037500,47.72,6.89,110.78,120.82,0.81,-7.74,1.22,7.88,-7.53,24.66,7.25,26.78,0.00,0.00,0.00,0.00
0.0040625,46.15,6.80,109.04,118.60,0.82,-7.74,1.25,7.89,-7.78,24.65,7.13,26.81,0.00,0.00,0.00,0.00
0.0043750,44.41,7.00,107.18,116.23,0.84,-7.74,1.29,7.89,-8.02,24.79,7.04,26.99,0.00,0.00,0.00,0.00
0.0046875,42.73,7.83,105.44,114.04,0.85,-7.74,1.32,7.89,-8.24,25.09,7.00,27.32,0.00,0.00,0.00,0.00
0.0050000,41.44,9.65,104.02,112.39,0.87,-7.73,1.35,7.90,-8.46,25.54,7.00,27.80,0.00,0.00,0.00,0.00
0.0053125,41.03,12.82,103.09,111.69,0.89,-7.73,1.38,7.90,-8.67,26.16,7.04,28.44,0.00,0.00,0.00,0.00
0.0056250,42.16,17.64,102.78,112.49,0.90,-7.73,1.42,7.91,-8.90,26.93,7.13,29.24,0.00,0.00,0.00,0.00
0.0059375,45.68,24.32,103.18,115.43,0.92,-7.72,1.45,7.91,-9.16,27.85,7.24,30.20,0.00,0.00,0.00,0.00
0.0062500,52.51,32.96,104.31,121.34,0.93,-7.72,1.48,7.91,-9.50,28.90,7.36,31.30,0.00,0.00,0.00,0.00
0.0065625,63.59,43.43,106.10,131.11,0.94,-7.71,1.51,7.91,-9.94,30.04,7.45,32.51,0.00,0.00,0.00,0.00
0.0068750,79.67,55.41,108.39,145.48,0.96,-7.70,1.54,7.91,-10.54,31.21,7.48,33.78,0.00,0.00,0.00,0.00
0.0071875,101.12,68.23,110.84,164.82,0.98,-7.68,1.57,7.90,-11.35,32.31,7.39,35.04,0.00,0.00,0.00,0.00
0.0075000,127.77,81.01,112.91,188.78,1.01,-7.66,1.60,7.89,-12.42,33.24,7.14,36.20,0.00,0.00,0.00,0.00
0.0078125,158.75,92.62,113.84,216.19,1.04,-7.63,1.64,7.87,-13.84,33.85,6.70,37.18,0.00,0.00,0.00,0.00
0.0081250,192.34,101.92,112.59,245.06,1.08,-7.60,1.67,7.85,-15.69,33.99,6.02,37.92,0.00,0.00,0.00,0.00
0.0084375,226.01,107.93,107.81,272.68,1.14,-7.56,1.70,7.83,-18.10,33.50,5.12,38.42,0.00,0.00,0.00,0.00
0.0087500,256.51,110.09,97.89,295.80,1.21,-7.52,1.73,7.81,-21.24,32.21,4.00,38.79,0.00,0.00,0.00,0.00
0.0090625,280.09,108.41,80.92,311.05,1.30,-7.47,1.75,7.78,-25.34,29.99,2.73,39.35,0.00,0.00,0.00,0.00
0.0093750,292.96,103.65,54.83,315.55,1.40,-7.43,1.78,7.77,-30.66,26.72,1.38,40.70,0.00,0.00,0.00,0.00
